ward_name,ward_key,cluster_key,Original,kiswahili,english
Marama West,123,517,IPHC church manyika,Kanisa la IPHC Manyika,IPHC Church Manyika
Marama North,121,551,Church of Mwilala,Kanisa la Mwilala,Mwilala Church
Marenyo - Shianda,124,555,Baptist Church Eshisisia,Kanisa la Baptist Eshisisia,Baptist Church Eshisisia
Marama Central,120,570,Buyoka Mosque,Msikiti wa Buyoka,Buyoka Mosque
Marama West,123,587,D.O's office Lunza,Afis ya D.O Lunza,D.O's office Lunza
Marama South,122,589,ACK Church Eshishebu,Kanisa la ACK Eshihebu,ACK Church Eshishebu
Marama South,122,605,Ebukuti Catholic Church,Kanisa la Katoliki Ebukuti,Ebukuti Catholic Church
Butsotso South,135,624,Emulundu Church of God,Kanisa la Church of God Emulundu,Emulundu Church of God
Butsotso Central,134,630,Jesus Christ The Chief Corner Stone ,Kanisa la Jesus Christ the Chief Corner Stone,Jesus Christ The Chief Corner Stone 
Sheywe,136,631,Emusala Church of God,Kanisa la Church of God Emusala,Emusala Church of God
Kisa North,130,648,Eshilibo Church of God,Kanisa la Church of God Eshilibo,Eshilibo Church of God
Butsotso Central,134,657,Ematieta Church of God ,Kanisa la Church of God Ematieta,Ematieta Church of God 
Isukha East,160,715,Friends Church Vikoshe,Kanisa la Friends Vikoshe,Friends Church Vikoshe
Isukha East,160,718,Singila PEFA Church,Kanisa la PEFA Singila,Singila PEFA Church
Isukha North,161,729,Holy Family Catholic Church Lubao,Kanisa la Katoliki la Holy Family Lubao,Holy Family Catholic Church Lubao
Isukha East,160,735,Lukusi Market Jones Mulilu's shop,Sokoni Lukusi Kwa Duka la Mulilu,Lukusi Market Jones Mulilu's shop
Isukha East,160,737,Alex Wanyonyi's Homestead,Kwa boma la Alex Wanyonyi,Alex Wanyonyi's Homestead
Isukha North,161,738,Christine Shamala's Shop,Kwa Duka la Christine Shamala,Christine Shamala's Shop
Isukha South,162,779,Kwirenyi Salvation Army Church,Kanisa la  Jeshi la Waokovu la  Kwirenyi,Kwirenyi Salvation Army Church
Isukha Central,159,781,Luvambo Friends Church,Kanisa la Friends Luvambo,Friends Church Luvambo 
Isukha Central,159,789,Near Serve International Ministries,Karibu na Serve International Ministries,Near Serve International Ministries
Murhanda,163,796,Friends Church Shamiloli,Kanisa la Friends Shamiloli,Friends Church Shamiloli
Isukha South,162,798,Friends Church Shidodo,Kanisa la Friends  Shidodo,Friends Church Shidodo
Murhanda,163,800,Murhanda Catholic Church ,Kanisa la Katoliki Murhanda,Murhanda Catholic Church 
Isukha South,162,807,Blessed Trinity Shirulu Church ,Kanisa la Blessed Trinity Shirulu,Blessed Trinity Shirulu Church 
Butali/Chegulo,137,830,Matsakha Clilnic,Kiliniki ya Matsakha,Matsakha Clilnic
Butali/Chegulo,137,834,Opposite Friends Church Mahusi,Oppositi Friend Church Mahusi,Opposite Friends Church Mahusi
Butali/Chegulo,137,835,Kenya Assemblies of God Butali,Kanisa la Friends Mahusi,Kenya Assemblies of God Butali
East Kabras,139,844,Kuvasali Friends Church,Kanisa la Friends Kuvasali,Kuvasali Friends Church
Chemuche,138,868,Salvation Army Musingu,Kanisa la Jeshi la Waokovu la Musingu,Salvation Army Musingu
East Kabras,139,870,PAG Church Soyi,Kanisa la PAG Soyi,PAG Church Soyi
Chemuche,138,882,Munyanya African Divine Church,Kanisa la African Divine Munyanya,Munyanya African Divine Church
Manda-Shivanga,140,910,Teresia African Divine Church,Kanisa la Teresia African Divine,Teresia African Divine Church
South Kabras,142,921,Lukala Sub-parish Catholic Church,Kanisa la Katoliki Parokia Ndogo ya Lukala,Lukala Sub-parish Catholic Church
South Kabras,142,929,Church of The Lord Lusumu,Kanisa la Church of the Lord Lusumu,Church of The Lord Lusumu
South Kabras,142,951,Haron's Hotelroom Opp. Shamberere Pri. School,Kwa Hotel ya Haron Opposite Shamberere Pri. School,Haron's Hotelroom Opp. Shamberere Pri. School
South Kabras,142,954,PAG Shingoto Church,Kanisa la PAG Shingoto,PAG Church Shingoto 
Shirugu-Mugai,141,979,Chombeli Health Center,Kwa Hospitali ya Chombeli,Chombeli Health Center
Idakho Central,125,1008,Friends Church Shirumba,Kanisa la Friends Shirumba,Friends Church Shirumba
Idakho North,126,1014,Shinyikha PAG Church,Kanisa la PAG Shinyikha,PAG Church Shinyikha
Idakho Central,125,1026,Musoli Parish Catholic Church,Kanisa la Katoliki Parukia ya Musoli,Musoli Parish Catholic Church
Idakho South,127,1055,Salvation Army Church Shianjetso,Kanisa la  Jeshi la Waokovu la  Shianjetso,Salvation Army Church Shianjetso
Kisa East,129,1059,Pentecostal Blessed Church,Kanisa la Pentacostal Blessed Church,Pentecostal Blessed Church
Kisa East,129,1072,Orthodox Church,Kanisa la Orthodox,Orthodox Church
Kisa West,131,1093,Ikomero dispensary,Hospitali Ikomero,Ikomero dispensary
Kisa Central,128,1101,Assistant Chief Office Mushiangubu,Afisi ya Naibu was Chifu Mushiangubu,Assistant Chief Office Mushiangubu
Kisa Central,128,1120,Shiongo Adventist Church,Kanisa la Adventist Shiongo,Adventist Church Shiongo 
Chevaywa,132,1147,Chepusai Friends Church,Kanisa la Friends Chepusai,Friends Church Chepusai 
Butali/Chegulo,137,1152,Near Snr. Chief Edward's Office,Karibu na afisi ya Senior Chief Edward,Near Snr. Chief Edward's Office
Manda-Shivanga,140,1163,Andrew Tindi's Shop,Kwa duka la Andrew Tindi,Andrew Tindi's Shop
Lwandeti,133,1167,Christian Center Church,Kanisa la Christian Center,Christian Center Church
Mayoni,146,1201,GPC Church ,Kanisa la GPC,GPC Church 
Namamali,147,1216,Namamali Mosque,Msikiti wa Namamali,Namamali Mosque
Kholera,144,1219,Mukhweya ACK Church,Kanisa la ACK Mukhweya,ACK Church Mukhweya
Namamali,147,1234,ACK Church Suwo,Kanisa la ACK Suwo,ACK Church Suwo
Koyonzo,145,1236,Josephat Shiundu Wamukoya's homestead,Kwa boma la Josephat Shiundu Wamukoya,Josephat Shiundu Wamukoya's homestead
Mayoni,146,1242,Catholic Church Kholera,Kanisa la  Katoliko Kholera,Catholic Church Kholera
Kholera,144,1244,Repentance and Holyness church,Kanisa la Repentance and Holyness,Repentance and Holyness church
Koyonzo,145,1245,Shaban Masanga's homestead Opp. St. Margret Pri. School,Kwa boma la Shaban Masanga Opposite St. Margret Pri. School,Shaban Masanga's homestead Opp. St. Margret Pri. School
Koyonzo,145,1247,Luanda Catholic Church Eshikhondi,Kanisa la Katoliko Eshikhondi,Luanda Catholic Church Eshikhondi
Khalaba,143,1254,Stanslas Barasa's homestead,Kwa boma la Stanslas ,Stanslas Barasa's homestead
Khalaba,143,1261,St.Siphrose Lutasio Catholic Church,Kanisa la Katoliko la Mtakatifu Siphrose Lutasio,St.Siphrose Lutasio Catholic Church
Malaha/Isongo/Makunga,150,1272,Chiefs Camp,Kwa kambi ya chifu,Chiefs Camp
East Wanga,148,1289,ACK Bungale Church,Kanisa la ACK Bungale,ACK  Church Bungale
Lusheya/Lubinu,149,1304,UPC Church Shianda,Kanisa la UPC Shianda,UPC Church Shianda
Mumias Central,152,1313,Friends Church Shibale,Kanisa la Friends  Shibale,Friends Church Shibale
Mumias Central,152,1323,ACK Church Ekero,Kanisa la ACK  Ekero,ACK Church Ekero
Etenje,151,1347,Nyapeta Clinic,kliniki  Nyapeta,Nyapeta Clinic
Musanda,153,1355,Ass. Chief's Office Etenje,Kwa afisi ya naibu wa chief Etenje,Ass. Chief's Office Etenje
Musanda,153,1370,ACK Shihaka Church,Kanisa la ACK Shihaka,ACK Church Shihaka 
Bunyala West,156,1389,Salvation Army Church Mukama,Kanisa la  Jeshi la Waokovu la  Mukama,Salvation Army Church Mukama
East Wanga,148,1393,Namundera Friends Church,Kanisa la Friends Namundera,Friends Church Namundera 
Bunyala West,156,1406,Friends Church Kisembe,Kanisa la Friends Kisembe,Friends Church Kisembe
Bunyala East,155,1426,Lutaso Mosque,Msikiti wa Lutaso,Lutaso Mosque
Bunyala Central,154,1442,Mukhuyu Baptist Church,Kanisa la Baptist Mukhuyu,Baptist Church Mukhuyu
Shinoyi-Shikomari-Esumeyia,158,1449,Esumeyia ACK Church,Kanisa la ACK Esumeyia,ACK Church Esumeyia
Ingostse-Mathia,157,1451,Siregoi Friends Church,Kanisa la Friends Siregoi,Friends Church Siregoi 
