cluster.id,level.1.lat.max,level.1.lat.min,level.1.lon.max,level.1.lon.min,level.2.lat.max,level.2.lat.min,level.2.lon.max,level.2.lon.min,verify.dist,enumerator,enumerator_other,wave,county,alt.pot.lon,alt.pot.lat,alt_name,location_type,comments,SubmissionDate,data.source,SubmissionDate.verify,starttime,endtime,deviceid,subscriberid,simid,devicephonenum,username,duration,caseid,enumerator_search,enumerator.verify,enumerator_other.verify,constituency,ward,pot_name,lat.verify,lon.verify,gps-Altitude,gps-Accuracy,comments.verify,instanceID,formdef_version,KEY,num.entries,county_name,county_key,constituency_name,constituency_code,ward_name,ward_code,cluster_key,constituency_key,ward_key,Point of Treatment
,0.23257884,0.23167436,34.53348577,34.53258743,0.23303109,0.23122211,34.53393494,34.53213826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2321266,34.5330366,,,,,,,,,,,,,,517,,,
,0.20304553,0.20214107,34.58589576,34.58499744,0.20349777,0.20168883,34.58634492,34.58454828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2025933,34.5854466,,,,,,,,,,,,,,551,,,
,0.19441554,0.19351106,34.54232077,34.54142243,0.19486778,0.19305882,34.54276994,34.54097326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1939633,34.5418716,,,,,,,,,,,,,,555,,,
,0.25090055,0.24999605,34.49842248,34.49752412,0.2513528,0.2495438,34.49887166,34.49707494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2504483,34.4979733,,,,,,,,,,,,,,570,,,
,0.23719884,0.23629436,34.55812247,34.55722413,0.23765108,0.23584212,34.55857163,34.55677497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2367466,34.5576733,,,,,,,,,,,,,,587,,,
,0.19232055,0.19141605,34.48829418,34.48739582,0.19277281,0.19096379,34.48874336,34.48694664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1918683,34.487845,,,,,,,,,,,,,,589,,,
,0.15552056,0.15461604,34.44257419,34.44167581,0.15597283,0.15416377,34.44302338,34.44122662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1550683,34.442125,,,,,,,,,,,,,,605,,,
,0.24322723,0.24232277,34.61779745,34.61689915,0.24367945,0.24187055,34.61824661,34.61644999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.242775,34.6173483,,,,,,,,,,,,,,624,,,
,0.28593552,0.28503108,34.64469415,34.64379585,0.28638774,0.28457886,34.6451433,34.6433467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2854833,34.644245,,,,,,,,,,,,,,630,,,
,0.33039549,0.32949111,34.78091072,34.78001248,0.33084767,0.32903893,34.78135984,34.77956336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3299433,34.7804616,,,,,,,,,,,,,,631,,,
,0.18627383,0.18536937,34.62163575,34.62073745,0.18672605,0.18491715,34.6220849,34.6202883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1858216,34.6211866,,,,,,,,,,,,,,648,,,
,0.25070052,0.24979608,34.66399414,34.66309586,0.25115273,0.24934387,34.66444329,34.66264671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2502483,34.663545,,,,,,,,,,,,,,657,,,
,0.25905875,0.25815445,34.93690068,34.93600252,0.25951089,0.25770231,34.93734975,34.93555345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2586066,34.9364516,,,,,,,,,,,,,,715,,,
,0.24900044,0.24809616,34.96373237,34.96283423,0.24945258,0.24764402,34.96418144,34.96238516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2485483,34.9632833,,,,,,,,,,,,,,718,,,
,0.33163048,0.33072612,34.81496741,34.81406919,0.33208266,0.33027394,34.81541652,34.81362008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3311783,34.8145183,,,,,,,,,,,,,,729,,,
,0.34481382,0.34390952,34.92246075,34.92156258,0.34526597,0.34345736,34.92290983,34.9211135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.344361667,34.92201167,,,,,,,,,,,,,,735,,,
,0.29284214,0.29193786,34.95194237,34.95104423,0.29329429,0.29148571,34.95239145,34.95059515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29239,34.9514933,,,,,,,,,,,,,,737,,,
,0.37238049,0.37147618,34.91079742,34.90989925,0.37283264,0.37102403,34.91124651,34.90945016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.371928333,34.91034833,,,,,,,,,,,,,,738,,,
,0.19010384,0.18919949,34.83599577,34.83509757,0.19055601,0.18874732,34.83644487,34.83464847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.189651667,34.83554667,,,,,,,,,,,,,,779,,,
,0.23460547,0.23370113,34.857774,34.8568758,0.23505764,0.23324896,34.85822309,34.85642671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2341533,34.8573249,,,,,,,,,,,,,,781,,,
,0.22620051,0.22529615,34.81660244,34.81570423,0.22665269,0.22484398,34.81705154,34.81525512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.225748333,34.81615333,,,,,,,,,,,,,,789,,,
,0.27110877,0.27020443,34.8449041,34.8440059,0.27156094,0.26975226,34.8453532,34.8435568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2706566,34.844455,,,,,,,,,,,,,,796,,,
,0.23255219,0.23164781,34.77492072,34.77402248,0.23300438,0.23119562,34.77536983,34.77357337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2321,34.7744716,,,,,,,,,,,,,,798,,,
,0.26533048,0.26442612,34.79543571,34.79453749,0.26578267,0.26397393,34.79588482,34.79408838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2648783,34.7949866,,,,,,,,,,,,,,800,,,
,0.18950879,0.18860441,34.78816741,34.78726919,0.18996097,0.18815223,34.78861652,34.78682008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1890566,34.7877183,,,,,,,,,,,,,,807,,,
,0.53005048,0.52914612,34.81330412,34.81240588,0.53050266,0.52869394,34.81375324,34.81195676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5295983,34.812855,,,,,,,,,,,,,,830,,,
,0.48335548,0.48245112,34.80591912,34.80502088,0.48380766,0.48199894,34.80636824,34.80457176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4829033,34.80547,,,,,,,,,,,,,,834,,,
,0.48454717,0.48364283,34.83721411,34.83631589,0.48499935,0.48319065,34.83766323,34.83586677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.484095,34.836765,,,,,,,,,,,,,,835,,,
,0.41818375,0.41727945,34.93985238,34.93895422,0.41863589,0.41682731,34.94030146,34.93850514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4177316,34.9394033,,,,,,,,,,,,,,844,,,
,0.44846547,0.44756113,34.8681157,34.8672175,0.44891763,0.44710897,34.86856481,34.86676839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4480133,34.8676666,,,,,,,,,,,,,,868,,,
,0.38745881,0.38655452,34.95568574,34.95478759,0.38791095,0.38610238,34.95613482,34.95433851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.387006667,34.95523667,,,,,,,,,,,,,,870,,,
,0.46323216,0.46232784,34.8963041,34.8954059,0.46368432,0.46187568,34.89675319,34.89495681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46278,34.895855,,,,,,,,,,,,,,882,,,
,0.49511216,0.49420784,34.8940374,34.8931392,0.49556432,0.49375568,34.8944865,34.8926901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49466,34.8935883,,,,,,,,,,,,,,910,,,
,0.39366886,0.39276448,34.76780412,34.76690588,0.39412105,0.39231229,34.76825325,34.76645675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.393216667,34.767355,,,,,,,,,,,,,,921,,,
,0.42250552,0.42160115,34.79871579,34.79781755,0.4229577,0.42114897,34.7991649,34.79736843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.422053333,34.79826667,,,,,,,,,,,,,,929,,,
,0.37680217,0.37589783,34.84195741,34.84105919,0.37725434,0.37544566,34.84240651,34.84061009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37635,34.8415083,,,,,,,,,,,,,,951,,,
,0.38753548,0.38663112,34.81810741,34.81720919,0.38798766,0.38617894,34.81855652,34.81676008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3870833,34.8176583,,,,,,,,,,,,,,954,,,
,0.45700879,0.45610441,34.75240403,34.75150577,0.45746099,0.45565221,34.75285316,34.75105664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4565566,34.7519549,,,,,,,,,,,,,,979,,,
,0.1875505,0.1866461,34.72406073,34.72316247,0.1880027,0.1861939,34.72450985,34.72271335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1870983,34.7236116,,,,,,,,,,,,,,1008,,,
,0.23410881,0.23320439,34.69617914,34.69528086,0.23456102,0.23275218,34.69662827,34.69483173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2336566,34.69573,,,,,,,,,,,,,,1014,,,
,0.20408711,0.20318269,34.66641744,34.66551916,0.20453933,0.20273047,34.66686658,34.66507002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2036349,34.6659683,,,,,,,,,,,,,,1026,,,
,0.1521522,0.1512478,34.73257242,34.73167418,0.1526044,0.1507956,34.73302155,34.73122505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1517,34.7321233,,,,,,,,,,,,,,1055,,,
,0.15497552,0.15407108,34.66474914,34.66385086,0.15542773,0.15361887,34.66519828,34.66340172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1545233,34.6643,,,,,,,,,,,,,,1059,,,
,0.15177553,0.15087107,34.60185745,34.60095915,0.15222776,0.15041884,34.60230661,34.60050999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1513233,34.6014083,,,,,,,,,,,,,,1072,,,
,0.15221895,0.15131445,34.50148918,34.50059082,0.1526712,0.1508622,34.50193835,34.50014165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1517667,34.50104,,,,,,,,,,,,,,1093,,,
,0.12378724,0.12288276,34.57147746,34.57057914,0.12423947,0.12243053,34.57192662,34.57012998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.123335,34.5710283,,,,,,,,,,,,,,1101,,,
,0.17357224,0.17266776,34.57022246,34.56932414,0.17402447,0.17221553,34.57067162,34.56887498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17312,34.5697733,,,,,,,,,,,,,,1120,,,
,0.56301052,0.56210615,34.7827408,34.78184253,0.56346271,0.56165396,34.78318993,34.7813934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.562558333,34.78229167,,,,,,,,,,,,,,1147,,,
,0.52006052,0.51915614,34.76595913,34.76506087,0.52051271,0.51870395,34.76640827,34.76461173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.519608333,34.76551,,,,,,,,,,,,,,1152,,,
,0.57794884,0.57704449,34.82174912,34.82085088,0.57840102,0.57659231,34.82219825,34.82040175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.577496667,34.8213,,,,,,,,,,,,,,1163,,,
,0.6109205,0.61001617,34.87923411,34.87833589,0.61137266,0.60956401,34.87968322,34.87788678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.610468333,34.878785,,,,,,,,,,,,,,1167,,,
,0.35523716,0.35433264,34.46474249,34.46384411,0.35568942,0.35388038,34.46519168,34.46339492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3547849,34.4642933,,,,,,,,,,,,,,1201,,,
,0.42969556,0.42879104,34.4458742,34.4449758,0.43014782,0.42833878,34.4463234,34.4445266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4292433,34.445425,,,,,,,,,,,,,,1216,,,
,0.46141385,0.46050935,34.49169249,34.49079411,0.46186611,0.46005709,34.49214168,34.49034492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4609616,34.4912433,,,,,,,,,,,,,,1219,,,
,0.44858387,0.44767933,34.38894921,34.38805079,0.44903615,0.44722705,34.38939842,34.38760158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4481316,34.3885,,,,,,,,,,,,,,1234,,,
,0.41027886,0.40937434,34.4357125,34.4348141,0.41073113,0.40892207,34.4361617,34.4343649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4098266,34.4352633,,,,,,,,,,,,,,1236,,,
,0.41544386,0.41453934,34.47321249,34.47231411,0.41589611,0.41408709,34.47366168,34.47186492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4149916,34.4727633,,,,,,,,,,,,,,1242,,,
,0.43711885,0.43621435,34.51534748,34.51444912,0.4375711,0.4357621,34.51579667,34.51399993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4366666,34.5148983,,,,,,,,,,,,,,1244,,,
,0.34646057,0.34555603,34.4088059,34.4079075,0.34691284,0.34510376,34.4092551,34.4074583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3460083,34.4083567,,,,,,,,,,,,,,1245,,,
,0.40045057,0.39954603,34.39733591,34.39643749,0.40090284,0.39909376,34.39778511,34.39598829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3999983,34.3968867,,,,,,,,,,,,,,1247,,,
,0.41963557,0.4187311,34.57491584,34.5740175,0.4200878,0.41827886,34.57536501,34.57356833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.419183333,34.57446667,,,,,,,,,,,,,,1254,,,
,0.45612557,0.45522109,34.55157918,34.55068082,0.45657781,0.45476885,34.55202836,34.55023164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.455673333,34.55113,,,,,,,,,,,,,,1261,,,
,0.35596223,0.35505777,34.61464746,34.61374914,0.35641445,0.35460555,34.61509662,34.61329998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35551,34.6141983,,,,,,,,,,,,,,1272,,,
,0.34629224,0.34538776,34.55410584,34.5532075,0.34674448,0.34493552,34.55455501,34.55275832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34584,34.55365667,,,,,,,,,,,,,,1289,,,
,0.31828224,0.31737776,34.57027917,34.56938083,0.31873447,0.31692553,34.57072833,34.56893167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31783,34.56983,,,,,,,,,,,,,,1304,,,
,0.36649392,0.36558941,34.48692252,34.48602415,0.36694617,0.36513716,34.48737171,34.48557496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.366041667,34.48647333,,,,,,,,,,,,,,1313,,,
,0.33130558,0.33040108,34.49983918,34.49894082,0.33175784,0.32994883,34.50028836,34.49849164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.330853333,34.49939,,,,,,,,,,,,,,1323,,,
,0.28310897,0.28220443,34.42690749,34.42600911,0.28356123,0.28175217,34.42735669,34.42555991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2826567,34.4264583,,,,,,,,,,,,,,1347,,,
,0.25977556,0.25887104,34.44971089,34.44881251,0.26022782,0.25841878,34.45016008,34.44836332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2593233,34.4492617,,,,,,,,,,,,,,1355,,,
,0.21624056,0.21533604,34.46557088,34.46467252,0.21669282,0.21488378,34.46602007,34.46422333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2157883,34.4651217,,,,,,,,,,,,,,1370,,,
,0.43897553,0.43807107,34.60899246,34.60809414,0.43942776,0.43761884,34.60944163,34.60764497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4385233,34.6085433,,,,,,,,,,,,,,1389,,,
,0.38501053,0.38410607,34.59159577,34.59069743,0.38546276,0.38365384,34.59204493,34.59024827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3845583,34.5911466,,,,,,,,,,,,,,1393,,,
,0.39986882,0.39896438,34.64428915,34.64339085,0.40032104,0.39851216,34.64473831,34.64294169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3994166,34.64384,,,,,,,,,,,,,,1406,,,
,0.4426122,0.4417078,34.71766414,34.71676586,0.44306441,0.44125559,34.71811328,34.71631672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44216,34.717215,,,,,,,,,,,,,,1426,,,
,0.44792555,0.44702112,34.66946915,34.66857085,0.44837776,0.44656891,34.6699183,34.6681217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.447473333,34.66902,,,,,,,,,,,,,,1442,,,
,0.32008721,0.31918279,34.68126744,34.68036916,0.32053942,0.31873058,34.68171658,34.67992002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.319635,34.6808183,,,,,,,,,,,,,,1449,,,
,0.36890551,0.36800109,34.70034744,34.69944916,0.36935771,0.36754889,34.70079658,34.69900002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3684533,34.6998983,,,,,,,,,,,,,,1451,,,
